Gene	Gene description	Concentration
ABHD14B	Abhydrolase domain containing 14B	2.1 ug/L
MMP19	Matrix metallopeptidase 19	2.1 ug/L
TM9SF2	Transmembrane 9 superfamily member 2	2.1 ug/L
LRRC4	Leucine rich repeat containing 4	2.1 ug/L
PSMB7	Proteasome 20S subunit beta 7	2.1 ug/L
ATP1B1	ATPase Na+/K+ transporting subunit beta 1	2.1 ug/L
HNRNPU	Heterogeneous nuclear ribonucleoprotein U	2.1 ug/L
RET	Ret proto-oncogene	2.1 ug/L
PRF1	Perforin 1	2.1 ug/L
ABAT	4-aminobutyrate aminotransferase	2.1 ug/L
LRIG2	Leucine rich repeats and immunoglobulin like domains 2	2.1 ug/L
COL11A2	Collagen type XI alpha 2 chain	2.1 ug/L
TNFRSF17	TNF receptor superfamily member 17	2.0 ug/L
SCARF1	Scavenger receptor class F member 1	2.0 ug/L
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	2.0 ug/L
DNM1L	Dynamin 1 like	2.0 ug/L
ACO2	Aconitase 2	2.0 ug/L
LGMN	Legumain	2.0 ug/L
PPP2R1A	Protein phosphatase 2 scaffold subunit Aalpha	2.0 ug/L
DBN1	Drebrin 1	2.0 ug/L
PAPPA2	Pappalysin 2	2.0 ug/L
CD48	CD48 molecule	2.0 ug/L
SLC2A1	Solute carrier family 2 member 1	2.0 ug/L
DIAPH1	Diaphanous related formin 1	2.0 ug/L
RPLP1	Ribosomal protein lateral stalk subunit P1	2.0 ug/L
ITGAV	Integrin subunit alpha V	2.0 ug/L
GALNS	Galactosamine (N-acetyl)-6-sulfatase	2.0 ug/L
ALDH9A1	Aldehyde dehydrogenase 9 family member A1	2.0 ug/L
ACP1	Acid phosphatase 1	2.0 ug/L
FUOM	Fucose mutarotase	2.0 ug/L
LRP8	LDL receptor related protein 8	2.0 ug/L
HK3	Hexokinase 3	2.0 ug/L
CD200R1	CD200 receptor 1	2.0 ug/L
CTNNB1	Catenin beta 1	2.0 ug/L
THOP1	Thimet oligopeptidase 1	2.0 ug/L
NPM1	Nucleophosmin 1	2.0 ug/L
RGMA	Repulsive guidance molecule BMP co-receptor a	2.0 ug/L
MAN1A2	Mannosidase alpha class 1A member 2	2.0 ug/L
SH3BGRL2	SH3 domain binding glutamate rich protein like 2	2.0 ug/L
CKMT1A	Creatine kinase, mitochondrial 1A	2.0 ug/L
CKMT1B	Creatine kinase, mitochondrial 1B	2.0 ug/L
DCN	Decorin	1.9 ug/L
RTN4R	Reticulon 4 receptor	1.9 ug/L
ISOC1	Isochorismatase domain containing 1	1.9 ug/L
PFKP	Phosphofructokinase, platelet	1.9 ug/L
RASGRP2	RAS guanyl releasing protein 2	1.9 ug/L
GNB1	G protein subunit beta 1	1.9 ug/L
NSFL1C	NSFL1 cofactor	1.9 ug/L
GGT7	Gamma-glutamyltransferase 7	1.9 ug/L
LGALS3	Galectin 3	1.9 ug/L
BHMT2	Betaine--homocysteine S-methyltransferase 2	1.9 ug/L
CCT7	Chaperonin containing TCP1 subunit 7	1.9 ug/L
ARHGAP18	Rho GTPase activating protein 18	1.9 ug/L
MAT1A	Methionine adenosyltransferase 1A	1.9 ug/L
F11R	F11 receptor	1.9 ug/L
AKR7A3	Aldo-keto reductase family 7 member A3	1.9 ug/L
STIM1	Stromal interaction molecule 1	1.9 ug/L
SMR3B	Submaxillary gland androgen regulated protein 3B	1.9 ug/L
ROBO2	Roundabout guidance receptor 2	1.9 ug/L
NOTUM	Notum, palmitoleoyl-protein carboxylesterase	1.9 ug/L
LAMA3	Laminin subunit alpha 3	1.8 ug/L
FH	Fumarate hydratase	1.8 ug/L
PRKAR1A	Protein kinase cAMP-dependent type I regulatory subunit alpha	1.8 ug/L
MAN1C1	Mannosidase alpha class 1C member 1	1.8 ug/L
LAMA5	Laminin subunit alpha 5	1.8 ug/L
WDR44	WD repeat domain 44	1.8 ug/L
FST	Follistatin	1.8 ug/L
ARMH4	Armadillo like helical domain containing 4	1.8 ug/L
KLK11	Kallikrein related peptidase 11	1.8 ug/L
MAT2A	Methionine adenosyltransferase 2A	1.8 ug/L
HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	1.8 ug/L
TBCA	Tubulin folding cofactor A	1.8 ug/L
UBE2N	Ubiquitin conjugating enzyme E2 N	1.8 ug/L
ANXA6	Annexin A6	1.8 ug/L
SND1	Staphylococcal nuclease and tudor domain containing 1	1.8 ug/L
LORICRIN	Loricrin cornified envelope precursor protein	1.8 ug/L
CCL27	C-C motif chemokine ligand 27	1.8 ug/L
PDCD6	Programmed cell death 6	1.8 ug/L
PREP	Prolyl endopeptidase	1.7 ug/L
CEMIP	Cell migration inducing hyaluronidase 1	1.7 ug/L
CPD	Carboxypeptidase D	1.7 ug/L
NIT2	Nitrilase family member 2	1.7 ug/L
CCT4	Chaperonin containing TCP1 subunit 4	1.7 ug/L
TRAP1	TNF receptor associated protein 1	1.7 ug/L
CLSTN3	Calsyntenin 3	1.7 ug/L
MEGF6	Multiple EGF like domains 6	1.7 ug/L
PGM2	Phosphoglucomutase 2	1.7 ug/L
LRRC15	Leucine rich repeat containing 15	1.7 ug/L
PAK2	P21 (RAC1) activated kinase 2	1.7 ug/L
PDLIM7	PDZ and LIM domain 7	1.7 ug/L
TGM2	Transglutaminase 2	1.7 ug/L
ITGAL	Integrin subunit alpha L	1.6 ug/L
TG	Thyroglobulin	1.6 ug/L
YBX1	Y-box binding protein 1	1.6 ug/L
DAZAP1	DAZ associated protein 1	1.6 ug/L
SEMA3A	Semaphorin 3A	1.6 ug/L
WFDC2	WAP four-disulfide core domain 2	1.6 ug/L
PLOD3	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	1.6 ug/L
TMEM248	Transmembrane protein 248	1.6 ug/L
KPNB1	Karyopherin subunit beta 1	1.6 ug/L
SRSF3	Serine and arginine rich splicing factor 3	1.6 ug/L
MESD	Mesoderm development LRP chaperone	1.6 ug/L
SSR1	Signal sequence receptor subunit 1	1.6 ug/L
GNAI1	G protein subunit alpha i1	1.6 ug/L
ILF3	Interleukin enhancer binding factor 3	1.6 ug/L
LSP1	Lymphocyte specific protein 1	1.6 ug/L
NTS	Neurotensin	1.6 ug/L
CLPS	Colipase	1.6 ug/L
RCN3	Reticulocalbin 3	1.6 ug/L
PTPRN2	Protein tyrosine phosphatase receptor type N2	1.6 ug/L
EIF4A2	Eukaryotic translation initiation factor 4A2	1.6 ug/L
FTCD	Formimidoyltransferase cyclodeaminase	1.6 ug/L
TAOK1	TAO kinase 1	1.6 ug/L
CXCL5	C-X-C motif chemokine ligand 5	1.6 ug/L
S100P	S100 calcium binding protein P	1.6 ug/L
PRDX3	Peroxiredoxin 3	1.6 ug/L
PCBP1	Poly(rC) binding protein 1	1.6 ug/L
DES	Desmin	1.6 ug/L
DPP7	Dipeptidyl peptidase 7	1.6 ug/L
KRTAP19-5	Keratin associated protein 19-5	1.6 ug/L
DPYD	Dihydropyrimidine dehydrogenase	1.6 ug/L
SPTAN1	Spectrin alpha, non-erythrocytic 1	1.6 ug/L
APRT	Adenine phosphoribosyltransferase	1.6 ug/L
IGLV4-3	Immunoglobulin lambda variable 4-3	1.6 ug/L
IL10RB	Interleukin 10 receptor subunit beta	1.6 ug/L
EHD2	EH domain containing 2	1.5 ug/L
MYLK	Myosin light chain kinase	1.5 ug/L
RHOA	Ras homolog family member A	1.5 ug/L
APLP2	Amyloid beta precursor like protein 2	1.5 ug/L
PILRA	Paired immunoglobin like type 2 receptor alpha	1.5 ug/L
AKR1B1	Aldo-keto reductase family 1 member B	1.5 ug/L
UNC13D	Unc-13 homolog D	1.5 ug/L
CYB5R3	Cytochrome b5 reductase 3	1.5 ug/L
MOGS	Mannosyl-oligosaccharide glucosidase	1.5 ug/L
SPTBN1	Spectrin beta, non-erythrocytic 1	1.5 ug/L
GDA	Guanine deaminase	1.5 ug/L
LRP11	LDL receptor related protein 11	1.5 ug/L
GLO1	Glyoxalase I	1.5 ug/L
NAPSA	Napsin A aspartic peptidase	1.5 ug/L
MATN2	Matrilin 2	1.5 ug/L
TPT1	Tumor protein, translationally-controlled 1	1.5 ug/L
NIBAN2	Niban apoptosis regulator 2	1.5 ug/L
ARRB1	Arrestin beta 1	1.5 ug/L
IQGAP1	IQ motif containing GTPase activating protein 1	1.5 ug/L
SEMA6C	Semaphorin 6C	1.5 ug/L
FREM2	FRAS1 related extracellular matrix 2	1.5 ug/L
PSTPIP2	Proline-serine-threonine phosphatase interacting protein 2	1.5 ug/L
CPA2	Carboxypeptidase A2	1.5 ug/L
IFNAR2	Interferon alpha and beta receptor subunit 2	1.5 ug/L
FDPS	Farnesyl diphosphate synthase	1.5 ug/L
LRP5	LDL receptor related protein 5	1.5 ug/L
NUDT5	Nudix hydrolase 5	1.5 ug/L
KRTAP4-4	Keratin associated protein 4-4	1.5 ug/L
SHMT1	Serine hydroxymethyltransferase 1	1.5 ug/L
CHID1	Chitinase domain containing 1	1.5 ug/L
DDAH2	Dimethylarginine dimethylaminohydrolase 2	1.5 ug/L
C1QTNF5	C1q and TNF related 5	1.5 ug/L
GNAI3	G protein subunit alpha i3	1.4 ug/L
NDST1	N-deacetylase and N-sulfotransferase 1	1.4 ug/L
ACAT1	Acetyl-CoA acetyltransferase 1	1.4 ug/L
PLXNA2	Plexin A2	1.4 ug/L
RANBP1	RAN binding protein 1	1.4 ug/L
UPB1	Beta-ureidopropionase 1	1.4 ug/L
EBI3	Epstein-Barr virus induced 3	1.4 ug/L
NAMPT	Nicotinamide phosphoribosyltransferase	1.4 ug/L
PTN	Pleiotrophin	1.4 ug/L
ADGRD1	Adhesion G protein-coupled receptor D1	1.4 ug/L
NCL	Nucleolin	1.4 ug/L
IL1R1	Interleukin 1 receptor type 1	1.4 ug/L
PI3	Peptidase inhibitor 3	1.4 ug/L
MYRF	Myelin regulatory factor	1.4 ug/L
YARS1	Tyrosyl-tRNA synthetase 1	1.4 ug/L
THSD1	Thrombospondin type 1 domain containing 1	1.4 ug/L
COL2A1	Collagen type II alpha 1 chain	1.4 ug/L
AMDHD1	Amidohydrolase domain containing 1	1.4 ug/L
CBLN2	Cerebellin 2 precursor	1.4 ug/L
PSMB6	Proteasome 20S subunit beta 6	1.4 ug/L
CCT5	Chaperonin containing TCP1 subunit 5	1.4 ug/L
C16orf89	Chromosome 16 open reading frame 89	1.4 ug/L
GRAP	GRB2 related adaptor protein	1.4 ug/L
MIA3	MIA SH3 domain ER export factor 3	1.4 ug/L
MMP14	Matrix metallopeptidase 14	1.4 ug/L
JAML	Junction adhesion molecule like	1.4 ug/L
CD300LG	CD300 molecule like family member g	1.4 ug/L
CMPK1	Cytidine/uridine monophosphate kinase 1	1.4 ug/L
CYB5A	Cytochrome b5 type A	1.4 ug/L
EPB42	Erythrocyte membrane protein band 4.2	1.4 ug/L
SCARA5	Scavenger receptor class A member 5	1.4 ug/L
NRXN1	Neurexin 1	1.4 ug/L
RASA3	RAS p21 protein activator 3	1.4 ug/L
KRTAP4-3	Keratin associated protein 4-3	1.4 ug/L
EPHB4	EPH receptor B4	1.4 ug/L
KRTAP13-1	Keratin associated protein 13-1	1.4 ug/L
PSMB10	Proteasome 20S subunit beta 10	1.4 ug/L
CHMP4A	Charged multivesicular body protein 4A	1.4 ug/L
LY75	Lymphocyte antigen 75	1.3 ug/L
EFNB1	Ephrin B1	1.3 ug/L
SEMA4G	Semaphorin 4G	1.3 ug/L
FKBP3	FKBP prolyl isomerase 3	1.3 ug/L
GLA	Galactosidase alpha	1.3 ug/L
SFRP1	Secreted frizzled related protein 1	1.3 ug/L
EEF1D	Eukaryotic translation elongation factor 1 delta	1.3 ug/L
CLEC11A	C-type lectin domain containing 11A	1.3 ug/L
DUSP3	Dual specificity phosphatase 3	1.3 ug/L
UGDH	UDP-glucose 6-dehydrogenase	1.3 ug/L
GCA	Grancalcin	1.3 ug/L
SRSF7	Serine and arginine rich splicing factor 7	1.3 ug/L
ECE1	Endothelin converting enzyme 1	1.3 ug/L
MUC5B	Mucin 5B, oligomeric mucus/gel-forming	1.3 ug/L
RPN2	Ribophorin II	1.3 ug/L
HSPH1	Heat shock protein family H (Hsp110) member 1	1.3 ug/L
SYNCRIP	Synaptotagmin binding cytoplasmic RNA interacting protein	1.3 ug/L
FHOD1	Formin homology 2 domain containing 1	1.3 ug/L
GALNT5	Polypeptide N-acetylgalactosaminyltransferase 5	1.3 ug/L
SDCBP	Syndecan binding protein	1.3 ug/L
CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2	1.3 ug/L
CCT3	Chaperonin containing TCP1 subunit 3	1.3 ug/L
RPL4	Ribosomal protein L4	1.3 ug/L
ZG16	Zymogen granule protein 16	1.3 ug/L
METRNL	Meteorin like, glial cell differentiation regulator	1.3 ug/L
THBD	Thrombomodulin	1.3 ug/L
C11orf54	Chromosome 11 open reading frame 54	1.3 ug/L
VDAC1	Voltage dependent anion channel 1	1.3 ug/L
CD9	CD9 molecule	1.2 ug/L
SLAMF7	SLAM family member 7	1.2 ug/L
GUCA2B	Guanylate cyclase activator 2B	1.2 ug/L
CCN5	Cellular communication network factor 5	1.2 ug/L
FGFR2	Fibroblast growth factor receptor 2	1.2 ug/L
VDAC3	Voltage dependent anion channel 3	1.2 ug/L
HNRNPC	Heterogeneous nuclear ribonucleoprotein C	1.2 ug/L
PGRMC1	Progesterone receptor membrane component 1	1.2 ug/L
CD99L2	CD99 molecule like 2	1.2 ug/L
RETN	Resistin	1.2 ug/L
SULT2A1	Sulfotransferase family 2A member 1	1.2 ug/L
BLVRA	Biliverdin reductase A	1.2 ug/L
DCPS	Decapping enzyme, scavenger	1.2 ug/L
USP5	Ubiquitin specific peptidase 5	1.2 ug/L
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	1.2 ug/L
ECHS1	Enoyl-CoA hydratase, short chain 1	1.2 ug/L
ITGA7	Integrin subunit alpha 7	1.2 ug/L
STAB2	Stabilin 2	1.2 ug/L
TMOD3	Tropomodulin 3	1.2 ug/L
PDLIM5	PDZ and LIM domain 5	1.2 ug/L
HMGB2	High mobility group box 2	1.2 ug/L
GOLM2	Golgi membrane protein 2	1.2 ug/L
RPSA	Ribosomal protein SA	1.2 ug/L
CES3	Carboxylesterase 3	1.2 ug/L
NPPA	Natriuretic peptide A	1.2 ug/L
CALML3	Calmodulin like 3	1.2 ug/L
MCFD2	Multiple coagulation factor deficiency 2, ER cargo receptor complex subunit	1.2 ug/L
ARHGAP45	Rho GTPase activating protein 45	1.2 ug/L
ADGRG3	Adhesion G protein-coupled receptor G3	1.2 ug/L
EMILIN3	Elastin microfibril interfacer 3	1.2 ug/L
PTMA	Prothymosin alpha	1.2 ug/L
FUT11	Fucosyltransferase 11	1.2 ug/L
BPIFA1	BPI fold containing family A member 1	1.2 ug/L
IGLV5-52	Immunoglobulin lambda variable 5-52	1.2 ug/L
GSTM2	Glutathione S-transferase mu 2	1.2 ug/L
PCDHGC3	Protocadherin gamma subfamily C, 3	1.2 ug/L
EPPK1	Epiplakin 1	1.2 ug/L
AK2	Adenylate kinase 2	1.1 ug/L
XYLT2	Xylosyltransferase 2	1.1 ug/L
GCLM	Glutamate-cysteine ligase modifier subunit	1.1 ug/L
MAT2B	Methionine adenosyltransferase 2B	1.1 ug/L
LAMC3	Laminin subunit gamma 3	1.1 ug/L
ZZEF1	Zinc finger ZZ-type and EF-hand domain containing 1	1.1 ug/L
SRI	Sorcin	1.1 ug/L
BAX	BCL2 associated X, apoptosis regulator	1.1 ug/L
TXNL1	Thioredoxin like 1	1.1 ug/L
CDV3	CDV3 homolog	1.1 ug/L
PHGDH	Phosphoglycerate dehydrogenase	1.1 ug/L
ISM2	Isthmin 2	1.1 ug/L
TPD52L2	TPD52 like 2	1.1 ug/L
STK24	Serine/threonine kinase 24	1.1 ug/L
SLC39A14	Solute carrier family 39 member 14	1.1 ug/L
PBLD	Phenazine biosynthesis like protein domain containing	1.1 ug/L
RAB34	RAB34, member RAS oncogene family	1.1 ug/L
EPHX2	Epoxide hydrolase 2	1.1 ug/L
FLRT3	Fibronectin leucine rich transmembrane protein 3	1.1 ug/L
STX11	Syntaxin 11	1.1 ug/L
SEMA6D	Semaphorin 6D	1.1 ug/L
HNRNPD	Heterogeneous nuclear ribonucleoprotein D	1.1 ug/L
PFKL	Phosphofructokinase, liver type	1.1 ug/L
KIAA0319L	KIAA0319 like	1.1 ug/L
ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	1.1 ug/L
ST14	ST14 transmembrane serine protease matriptase	1.1 ug/L
CYRIB	CYFIP related Rac1 interactor B	1.1 ug/L
ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase 3	1.1 ug/L
CCT8	Chaperonin containing TCP1 subunit 8	1.1 ug/L
EPB41	Erythrocyte membrane protein band 4.1	1.1 ug/L
GALNT10	Polypeptide N-acetylgalactosaminyltransferase 10	1.1 ug/L
SEMA6B	Semaphorin 6B	1.1 ug/L
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	1.1 ug/L
NPTX1	Neuronal pentraxin 1	1.1 ug/L
ANGPTL7	Angiopoietin like 7	1.1 ug/L
SCUBE2	Signal peptide, CUB domain and EGF like domain containing 2	1.1 ug/L
KREMEN1	Kringle containing transmembrane protein 1	1.1 ug/L
ASPH	Aspartate beta-hydroxylase	1.1 ug/L
PCDHAC2	Protocadherin alpha subfamily C, 2	1.1 ug/L
UBE2V1	Ubiquitin conjugating enzyme E2 V1	1.1 ug/L
CYFIP1	Cytoplasmic FMR1 interacting protein 1	1.1 ug/L
SKAP2	Src kinase associated phosphoprotein 2	1.0 ug/L
NRXN2	Neurexin 2	1.0 ug/L
CD46	CD46 molecule	1.0 ug/L
NAGK	N-acetylglucosamine kinase	1.0 ug/L
HADH	Hydroxyacyl-CoA dehydrogenase	1.0 ug/L
HSPA4L	Heat shock protein family A (Hsp70) member 4 like	1.0 ug/L
ITGAM	Integrin subunit alpha M	1.0 ug/L
GOLIM4	Golgi integral membrane protein 4	1.0 ug/L
MYLPF	Myosin light chain, phosphorylatable, fast skeletal muscle	1.0 ug/L
PPA1	Inorganic pyrophosphatase 1	1.0 ug/L
KRTAP13-2	Keratin associated protein 13-2	1.0 ug/L
DYNLL2	Dynein light chain LC8-type 2	1.0 ug/L
ACHE	Acetylcholinesterase (Cartwright blood group)	990 ng/L
TNNC1	Troponin C1, slow skeletal and cardiac type	990 ng/L
NEDD8	NEDD8 ubiquitin like modifier	990 ng/L
B3GAT3	Beta-1,3-glucuronyltransferase 3	990 ng/L
ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	980 ng/L
ITGB4	Integrin subunit beta 4	980 ng/L
SRSF1	Serine and arginine rich splicing factor 1	980 ng/L
ERBB2	Erb-b2 receptor tyrosine kinase 2	980 ng/L
SSC4D	Scavenger receptor cysteine rich family member with 4 domains	980 ng/L
RPS4X	Ribosomal protein S4 X-linked	980 ng/L
HBM	Hemoglobin subunit mu	980 ng/L
MAPK14	Mitogen-activated protein kinase 14	970 ng/L
GYPC	Glycophorin C (Gerbich blood group)	970 ng/L
PTX3	Pentraxin 3	970 ng/L
PCBP2	Poly(rC) binding protein 2	970 ng/L
COL16A1	Collagen type XVI alpha 1 chain	960 ng/L
MDK	Midkine	960 ng/L
PPP1R7	Protein phosphatase 1 regulatory subunit 7	960 ng/L
GDF15	Growth differentiation factor 15	960 ng/L
FBP2	Fructose-bisphosphatase 2	960 ng/L
CHST12	Carbohydrate sulfotransferase 12	960 ng/L
PLA2R1	Phospholipase A2 receptor 1	960 ng/L
CORO1B	Coronin 1B	960 ng/L
AKR7A2	Aldo-keto reductase family 7 member A2	950 ng/L
PDGFB	Platelet derived growth factor subunit B	950 ng/L
CDH23	Cadherin related 23	950 ng/L
GMPR	Guanosine monophosphate reductase	950 ng/L
TFF1	Trefoil factor 1	950 ng/L
HLA-DRA	Major histocompatibility complex, class II, DR alpha	950 ng/L
XRCC5	X-ray repair cross complementing 5	940 ng/L
SLC9A3R1	SLC9A3 regulator 1	940 ng/L
EFNB2	Ephrin B2	940 ng/L
DIPK2B	Divergent protein kinase domain 2B	940 ng/L
GNB2	G protein subunit beta 2	940 ng/L
MAN1B1	Mannosidase alpha class 1B member 1	940 ng/L
GNPDA1	Glucosamine-6-phosphate deaminase 1	930 ng/L
ACADM	Acyl-CoA dehydrogenase medium chain	930 ng/L
CCL21	C-C motif chemokine ligand 21	920 ng/L
SERPINH1	Serpin family H member 1	920 ng/L
ADK	Adenosine kinase	920 ng/L
SERPINB8	Serpin family B member 8	920 ng/L
SYCN	Syncollin	920 ng/L
IL5RA	Interleukin 5 receptor subunit alpha	910 ng/L
RGCC	Regulator of cell cycle	910 ng/L
SERPINE2	Serpin family E member 2	910 ng/L
PODN	Podocan	910 ng/L
ERP29	Endoplasmic reticulum protein 29	900 ng/L
GPR37	G protein-coupled receptor 37	900 ng/L
TBXAS1	Thromboxane A synthase 1	890 ng/L
DYNLL1	Dynein light chain LC8-type 1	890 ng/L
ADAM23	ADAM metallopeptidase domain 23	890 ng/L
TFF2	Trefoil factor 2	890 ng/L
FABP6	Fatty acid binding protein 6	890 ng/L
KIRREL1	Kirre like nephrin family adhesion molecule 1	890 ng/L
MRI1	Methylthioribose-1-phosphate isomerase 1	880 ng/L
MAP4	Microtubule associated protein 4	880 ng/L
RPS5	Ribosomal protein S5	880 ng/L
LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	880 ng/L
MLEC	Malectin	880 ng/L
SKP1	S-phase kinase associated protein 1	880 ng/L
SET	SET nuclear proto-oncogene	880 ng/L
CD1D	CD1d molecule	880 ng/L
PPP1R14A	Protein phosphatase 1 regulatory inhibitor subunit 14A	880 ng/L
STXBP2	Syntaxin binding protein 2	870 ng/L
CDH15	Cadherin 15	870 ng/L
CDH8	Cadherin 8	870 ng/L
HCLS1	Hematopoietic cell-specific Lyn substrate 1	870 ng/L
PAFAH1B1	Platelet activating factor acetylhydrolase 1b regulatory subunit 1	860 ng/L
ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	860 ng/L
RPL22	Ribosomal protein L22	860 ng/L
KISS1	KiSS-1 metastasis suppressor	860 ng/L
SEPTIN5	Septin 5	860 ng/L
PABPC4	Poly(A) binding protein cytoplasmic 4	850 ng/L
GFUS	GDP-L-fucose synthase	850 ng/L
PDE5A	Phosphodiesterase 5A	850 ng/L
PKD1	Polycystin 1, transient receptor potential channel interacting	840 ng/L
EEF1B2	Eukaryotic translation elongation factor 1 beta 2	840 ng/L
PCK1	Phosphoenolpyruvate carboxykinase 1	840 ng/L
EMILIN2	Elastin microfibril interfacer 2	840 ng/L
RGS10	Regulator of G protein signaling 10	840 ng/L
GORASP2	Golgi reassembly stacking protein 2	830 ng/L
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	830 ng/L
MYOM3	Myomesin 3	830 ng/L
PDXK	Pyridoxal kinase	830 ng/L
NEMF	Nuclear export mediator factor	830 ng/L
FYN	FYN proto-oncogene, Src family tyrosine kinase	820 ng/L
HIBADH	3-hydroxyisobutyrate dehydrogenase	820 ng/L
LHPP	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	820 ng/L
CRISP2	Cysteine rich secretory protein 2	820 ng/L
TXNDC17	Thioredoxin domain containing 17	820 ng/L
DPYS	Dihydropyrimidinase	820 ng/L
PLBD2	Phospholipase B domain containing 2	820 ng/L
ATP5PF	ATP synthase peripheral stalk subunit F6	820 ng/L
GNPDA2	Glucosamine-6-phosphate deaminase 2	820 ng/L
RPS7	Ribosomal protein S7	820 ng/L
COL5A2	Collagen type V alpha 2 chain	820 ng/L
LIPG	Lipase G, endothelial type	810 ng/L
XPNPEP1	X-prolyl aminopeptidase 1	810 ng/L
GMFG	Glia maturation factor gamma	810 ng/L
SERBP1	SERPINE1 mRNA binding protein 1	810 ng/L
MEPE	Matrix extracellular phosphoglycoprotein	810 ng/L
TGFBR2	Transforming growth factor beta receptor 2	810 ng/L
LRPAP1	LDL receptor related protein associated protein 1	810 ng/L
RPS14	Ribosomal protein S14	810 ng/L
BID	BH3 interacting domain death agonist	800 ng/L
TGFB1I1	Transforming growth factor beta 1 induced transcript 1	800 ng/L
GNAQ	G protein subunit alpha q	800 ng/L
CADM3	Cell adhesion molecule 3	800 ng/L
SCGB3A2	Secretoglobin family 3A member 2	800 ng/L
UBE2V2	Ubiquitin conjugating enzyme E2 V2	800 ng/L
SEMA3B	Semaphorin 3B	790 ng/L
IPO5	Importin 5	790 ng/L
TNFSF13B	TNF superfamily member 13b	790 ng/L
NCAN	Neurocan	790 ng/L
GSTM3	Glutathione S-transferase mu 3	790 ng/L
HDGF	Heparin binding growth factor	790 ng/L
LEAP2	Liver enriched antimicrobial peptide 2	790 ng/L
ATOX1	Antioxidant 1 copper chaperone	790 ng/L
QPRT	Quinolinate phosphoribosyltransferase	780 ng/L
RPLP0	Ribosomal protein lateral stalk subunit P0	770 ng/L
PTPN12	Protein tyrosine phosphatase non-receptor type 12	770 ng/L
ANP32A	Acidic nuclear phosphoprotein 32 family member A	770 ng/L
DDR2	Discoidin domain receptor tyrosine kinase 2	770 ng/L
SEPTIN9	Septin 9	770 ng/L
SERPINB5	Serpin family B member 5	770 ng/L
LYN	LYN proto-oncogene, Src family tyrosine kinase	770 ng/L
CPVL	Carboxypeptidase vitellogenic like	760 ng/L
NT5C	5', 3'-nucleotidase, cytosolic	760 ng/L
ADIRF	Adipogenesis regulatory factor	760 ng/L
MXRA8	Matrix remodeling associated 8	760 ng/L
ARPC1A	Actin related protein 2/3 complex subunit 1A	760 ng/L
EIF4H	Eukaryotic translation initiation factor 4H	750 ng/L
GCNT2	Glucosaminyl (N-acetyl) transferase 2 (I blood group)	750 ng/L
LDB3	LIM domain binding 3	750 ng/L
SUMF2	Sulfatase modifying factor 2	750 ng/L
SERPINI1	Serpin family I member 1	750 ng/L
LRRC59	Leucine rich repeat containing 59	740 ng/L
P3H3	Prolyl 3-hydroxylase 3	740 ng/L
DPYSL3	Dihydropyrimidinase like 3	740 ng/L
ADAM9	ADAM metallopeptidase domain 9	740 ng/L
GLDC	Glycine decarboxylase	740 ng/L
RPL10A	Ribosomal protein L10a	740 ng/L
GDF2	Growth differentiation factor 2	740 ng/L
RPN1	Ribophorin I	730 ng/L
RPS28	Ribosomal protein S28	730 ng/L
ECH1	Enoyl-CoA hydratase 1	720 ng/L
ESYT1	Extended synaptotagmin 1	720 ng/L
NRXN3	Neurexin 3	710 ng/L
KHSRP	KH-type splicing regulatory protein	710 ng/L
SIL1	SIL1 nucleotide exchange factor	710 ng/L
ROCK2	Rho associated coiled-coil containing protein kinase 2	710 ng/L
RPL12	Ribosomal protein L12	710 ng/L
ATP6AP1	ATPase H+ transporting accessory protein 1	700 ng/L
TIMP3	TIMP metallopeptidase inhibitor 3	700 ng/L
HGD	Homogentisate 1,2-dioxygenase	700 ng/L
ATP6V1A	ATPase H+ transporting V1 subunit A	700 ng/L
ADGRL2	Adhesion G protein-coupled receptor L2	700 ng/L
UCHL3	Ubiquitin C-terminal hydrolase L3	700 ng/L
CGREF1	Cell growth regulator with EF-hand domain 1	700 ng/L
ENSA	Endosulfine alpha	700 ng/L
SEMA4C	Semaphorin 4C	700 ng/L
APOBR	Apolipoprotein B receptor	700 ng/L
XRCC6	X-ray repair cross complementing 6	700 ng/L
COL6A6	Collagen type VI alpha 6 chain	700 ng/L
ADSS2	Adenylosuccinate synthase 2	690 ng/L
HEBP2	Heme binding protein 2	690 ng/L
NUCB2	Nucleobindin 2	690 ng/L
PCDH17	Protocadherin 17	690 ng/L
CHST3	Carbohydrate sulfotransferase 3	690 ng/L
